TIME     EVENT COMM             PID     PPID    FILENAME/EXIT CODE
23:06:43 EXEC  locale-check     33756   33755   /usr/bin/locale-check
23:06:43 EXIT  locale-check     33756   33755   [0] (6ms)
23:06:43 EXEC  locale           33757   33755   /usr/bin/locale
23:06:43 EXIT  locale           33757   33755   [0] (5ms)
23:06:43 EXIT  bash             33758   33755   [0]
23:06:43 EXEC  docker           33755   580     /usr/bin/docker
23:06:44 EXIT  docker           33755   580     [0] (308ms)
23:06:45 EXEC  iptables         33768   1120    /usr/sbin/iptables
23:06:45 EXIT  iptables         33768   1120    [0] (22ms)
23:06:48 EXEC  iptables         33769   1120    /usr/sbin/iptables
23:06:48 EXIT  iptables         33769   1120    [0] (26ms)
23:06:49 EXEC  bash             33770   580     /bin/bash
23:06:49 EXEC  bash             33770   580     /bin/bash
23:06:49 EXEC  locale-check     33771   33770   /usr/bin/locale-check
23:06:49 EXIT  locale-check     33771   33770   [0] (4ms)
23:06:49 EXEC  locale           33772   33770   /usr/bin/locale
23:06:49 EXIT  locale           33772   33770   [0] (4ms)
23:06:49 EXIT  bash             33773   33770   [0]
23:06:49 EXEC  docker           33770   580     /usr/bin/docker
23:06:49 EXIT  docker           33770   580     [0] (126ms)
